,ID_Rest,ID_yelp
0,to10497554,1fnaD5AuE6g3XfG8e1zNnQ
1,to10575158,OudlgGPrnAexhMaJL-4Guw
2,to10291975,P5NfFdOUSyhEjbMlfnxPpA
3,to1222807,ZHrZgkN4fgLzjCU_9a_Czw
4,to1223056,4u2ls0mGJNhfyzrqAMXtZg
5,to1223438,PJXlSQDWXxXDecIKjwl7iA
6,to9000004,oh6vICNxlLnGoyF11-a-Ow
7,to9000026,yDVjdqpZGt2ouzeeuGD9_A
8,to10593868,o37mk94tQ3UyQOOxDXQo8A
9,to9000109,8idRgzKzCZ2l2_d7nUSQDQ
10,to9009897,7l8ClMM0mKyvGGR6iVE44w
11,to9000144,JOoblYsQjFT-47tkt6om0A
12,to9000145,rpeFWKGrq9pRB3lvSdl2sA
13,to9424708,TtBNeqXSRh37VD-pW_VbAw
14,to10561566,zbFtY82_ummK4amkT-M04Q
15,to10407251,2uhQm_4-IxWLjbKgsrVd4w
16,to10455499,7fgi8nvXjjiTOwuVdd1oSw
17,to10552956,bS1QYpfEw7oIteDfTzpH8A
18,to10583208,E0djzqBHz923hwj-MJFO6Q
19,to9018485,Lk2I8GTjKLd_R1drktNWNg
20,to10328787,QRrUlcJxmWfahRUz0uhYFw
21,to10567601,XINxZ5fHTKq5eCq-z_KS8g
22,to9015825,4oIUaWXMJcp8sVrGLVuUsQ
23,to9000320,6eRSdODyj9GS0w6zlhrWkg
24,to9000325,2tuyNTCkBBn6182GixQTng
25,to10434158,tlGch0ojsV8VoktvwbKMzg
26,to9000420,jYxrO2UcqmUTWoXI4peMZg
27,to9000424,cl1yta1sMfBuEGesTLvXmw
28,to9000458,6GlJ5Tbhht43pXIRx7ygtw
29,to9031080,h935w_ra0b7dq9mUiwQH1g
30,to9023903,K0gZ9EQrzbVY_S8eY2GNsw
31,to9410823,P2ZSZg5ZxF01PhdfMyzdYg
32,to10208916,P6nW-MjLUAD7Yc_na84jCg
33,to10291713,uiAWarzgCNIwTZiOT96izw
34,to9000485,q1R4-UD8Al-2G226g0Ij0A
35,to9000515,UgqtRmBXzSrfMdUvAd4WIg
36,to9000572,4PINzgssH9dDbw36jofi_Q
37,to9000583,s9Xme3zGwJtId5_6YonmhA
38,to9000643,oICXzFAaUMrYGzjRWmkw4Q
39,to9000652,JOYo5nNjL3EDomI2WafeBQ
40,to9000698,gaEgDDKsuBVzDFg8wsF2Ig
41,to9000761,hY77DYw8mh1WT9yypK4qyA
42,to9000771,kGL6bJ4cZUKdiwyUmezgiw
43,to9000805,SRcvkPiiI4VIZAzobIPqJg
44,to9000848,8FqfLM0Kv3Grr9l8bOAlCA
45,to9000881,8MWiywu09bhLWIpzVaD4gw
46,to9000891,fTPwq2d2fsUm46_3IKhG-g
47,to9000917,GtO_zfsrgShKG7KW6zahSg
48,to9000962,WtFiIRFyyemKtS1x6TfuKA
49,to9000980,hQYhybAvH3hbheZWvW41_A
50,to9000990,_79Rh-ZHS_0TTXBdIsslQA
51,to9001041,n4E833buxa0ZC6Jta7nM3w
52,to10356054,n4E833buxa0ZC6Jta7nM3w
53,to9016098,gmGHRByX_Z1iJenUuaW0kw
54,to9001077,u2ETlHOcFdRz4BxcdfsK0Q
55,to10365522,A__STwEqG_f-0D-m89vrwA
56,to9014302,cIf7zEKpgevSpjV3En6xBA
57,to10399900,Da1wKWu_ma26i71GKtWDrw
58,to9001121,7ODXq--HE7QpzvWwgk5rMA
59,to9001163,aRoO3toj3bOaXzINR0GerQ
60,to9001180,CsURnd5xoiLzYpx2qQ8y9Q
61,to9001209,7Fk52W2HkAGXW90-RCSJog
62,to9001350,mw2TffuWp9kEDd4EPPZ4aw
63,to9001368,EDjN6jKF7B0Iw7wRxag8ug
64,to9007401,8vq9tnnH5qvnbBdeXYBJyw
65,to9030195,Lij0OcvPD4LAnmklHQpDCg
66,to9005247,o3h6ownPor82HkNo9z67Mw
67,to9001484,OqYZdBUgmId7tZMAVpiFCw
68,to10369291,eQCYur0033RkZdh5VjbF8A
69,to10201118,ZvP1ig8BbDXKIQzwuOwLCA
70,to9001491,uANuB3YVqjRWychfyhXJvA
71,to9001532,TegwLvzoVGn-59-pGkxJGA
72,to9001571,J01oX1zLdkV5doNupaTaiQ
73,to10332094,t5wRrTWlUNZkhrHGByqI-w
74,to9001601,aSS3LFkiXj2iRS_NQADG4w
75,to9001638,UlktnEI785XfJ7FC_SwiBw
76,to9001643,swWg9r4tx2kIzHlqzJwHiA
77,to9001658,BY9JxpTr9XAHJcgOMccz1A
78,to10529489,0sPOBQHlVvuhO1h-1p1ccQ
79,to10403692,Rh2smrKvcamnP8VBUgMI0Q
80,to9001751,zZfq52t0TUnwEk2V3-oPwQ
81,to9001756,MgsOZpYSntKSCzNROiWgYQ
82,to9001780,SCklYa_jhihWAcfIn-_chg
83,to9001806,9-4UtP9kdunfJl-DvudTeg
84,to9001827,gMjQvMDihWj8I3h3tYNZFA
85,to9001836,l7RCvKqA61Jzm98gaqIhvw
86,to9001840,MWTiyj9BY21GSOwYqLkpcQ
87,to9001842,j2U2vs4WWlF6SR5SS_D1lA
88,to10565620,6XqMdnMGVBP9cog3-Z70pA
89,to9001854,ntkN64kn0MBLdxxjq1jLFQ
90,to9001906,26GAV3VSlt5gjxmshlTV2w
91,to9011506,kwRWzhS3UoIIeoi7ghK6uw
92,to9414754,N4KJ6bPenS3AcK3_8UG0Ug
93,to9004174,tJqPUAk3xU6IkFgagpD92A
94,to9002996,ZGtv3ROGb2TqZil9Ptek3A
95,to9013454,4SPreBzBMbTA1PbvUGU1vw
96,to9001971,6KL0lRKtgTof-NoFuiXwdA
97,to9001992,KhkJPO9aR5s1QxKN6FPhlQ
98,to9002000,b6mc6m1qForW6Uh5KRw_zg
99,to10434167,IejiGSbNjxT-M-Sp5ESFEg
100,to9002048,KvwS77Q6SC5YRWV2Xfb2vA
101,to9002052,CWkOY0T61tz-8_-jDncHNg
102,to9002067,7RjTQ7ozvnw0cIuMKfnmKA
103,to9002084,Xhnx_WabOfHGhxRDydA5fA
104,to9002095,KTai0Sc45p4A-j2RYoDnHQ
105,to9002097,tjw1yJdmatifLYHbsI9HGA
106,to9002136,5P4SP21r6aRWPeWeac2M5Q
107,to9002138,KoZVFpkJzoNt4DCxi5Fzww
108,to9002170,JK_DiDwbl7HX5OhCAh3h4g
109,to9002206,VA95qAV2PRH9gtTi2Vfv4Q
110,to9002219,AfQjI9Wbu6_Hzy2b3e7JLw
111,to9002233,Q22nT5s_PTMS08QkWkrL5Q
112,to9002244,8S60rwfUEDwOv0VE27ySTg
113,to9002259,iodNaVGQAkAx4dDqTlfhWg
114,to10500471,4Nn9QoRDkOr-DWMF7KPqOQ
115,to9002262,Y1y6gmddorR5qTu1u5nGGg
116,to9002279,DStJWqCQr6Ln5TODfL98Zw
117,to9002280,wK1SMAzIpHh-KYbrs7m0nA
118,to9002287,IN8BHY7zkhjUxUh4qnbrHg
119,to10538183,OtAVXleSatkQeZn9Twg4Aw
120,to9002325,qI15oUMWusLnovlnV7DTSA
121,to10578394,6nB9E2ObWNjTRhrUj8dq7w
122,to10229524,dyDGuIgospoZXwjd2-tfvQ
123,to10476377,hSKsMNgK1BxJP1jG5sInaQ
124,to10189358,yfMY_eqBuPrNQU1leOsqXQ
125,to9002381,JqCPbQ02W0Jbxrp6X94KQA
126,to9002416,CDkYh0Xq-RTfHAw7e_l-sA
127,to9002417,VkkgcN4pKVZW7nJJOE3wPw
128,to9002441,W45EAHPo4Jv1hpuriQ2z5A
129,to9002451,gQjSMZYAeJalH6nNfj6Gtw
130,to9419251,42M_1n0do3V7gWbm-SB-qw
131,to9002511,jesEHiUvX8CzF9gRjwMZ3w
132,to9017924,9jY0VAudPcYJjyokdZjy_w
133,to9002558,XbOr_yFpsPqTLefgc9I99g
134,to9002682,EQ1cOH_mr5VyHGjhgz_vDA
135,to9002688,Pthcdg09sHQ9M9Tj5P9gfQ
136,to10585927,PlsMu3_E4NdxJMjcuOHFqw
137,to10483810,u0YqV9eoMDVdYxMegrSxqw
138,to9002721,ghWwqlRd1MaWz8hfgZ8Vsw
139,to9002773,ici3d9B3dFfS6qQXTBu_3Q
140,to9007731,WfyO7a5XzQPqt9KFviCvIA
141,to10201963,_hlNVsSGc2R9wT_cNBbFoQ
142,to9002812,j_hB9Gt3VMJAbA2JyvyFjw
143,to9002818,1uAYx8wgiRXNB_I9g1n8eQ
144,to9002820,7HrCELR6uv2HkgL7aT_hcQ
145,to9002843,np6Eytu5v98oleQuQ5hT5Q
146,to9002871,adFNDERYHRP_Fjq9ipUXqA
147,to9002903,_54EX-5-cXLw36ePY8rsXA
148,to10413129,Bt3gBkEKJjvqydBl9QBe8w
149,to9002983,KK7H1bVOMAJnDqMhBv2zpA
150,to9003006,tHYxSLGiCdbu-arlSsnMLg
151,to10610665,bSLIrhdxrxuz3p_nz1iLpg
152,to9013540,MDjIylNU6CYq9hR3Qe6hVA
153,to10377653,WX92Wz6Bv46VMGMiv21C5w
154,to10475598,gU91tpq-gtMMwMfvGBlpYA
155,to10486198,yRBE98DheftGKDwZG39P-w
156,to9003063,d6tCORycPazhY9LMxJTBdA
157,to9003095,hUGsHeHHPfJ4gpj4LwHyXw
158,to9003132,CXnLCL8QCAkKnxUdFBI4eQ
159,to9007087,aKnTksamD8foCZoX_0YeAw
160,to9003142,OMhJbPB9LNAdQu1bwuiEIQ
161,to9003223,GNuAri0b351XK2CR9SB4Dw
162,to10489197,Kw06PxDkF8gNMVWntmBKTw
163,to10503412,M6r6jKPr5tcpdatDn9K5lA
164,to10535178,R-EGIdIgtoFzl--OudANtA
165,to10603541,Qr6KiVgv7CklIc0J3EKMCQ
166,to9003542,-w2WaIQWPH4iNeJz7IZKDw
167,to9003546,tqecN-DS3MkJUN8AOMiFVA
168,to9003598,W8oYWcvFrthDx_tbHIWkfw
169,to9003742,lf1wqczeKUz5iyQn7J7sBA
170,to10610744,xUqvdu8BqEFRx2YDW4cbDw
