id_facility,name,address,city,state,zip
1861,710 Food Mart,710 S Goodwin,URBANA,IL,61801
2690,99 China,401 S First ST,CHAMPAIGN,IL,61820
2056,A-Plus VIP Lounge,214 W Main ST,URBANA,IL,61801
556,A-Ri-Rang,607 S Wright,CHAMPAIGN,IL,61820
2436,Acacia Fraternity,302 E Armory AVE,CHAMPAIGN,IL,61820
1194,AFC Sushi @ Schnucks No. 1297,200 N Vine ST,URBANA,IL,61802
672,AFC Sushi @ Schnucks No. 707,109 N Mattis,CHAMPAIGN,IL,61821
2629,Agave,405 S Century BLVD,RANTOUL,IL,61866
2606,Aldi,605 N Dunlap AVE,SAVOY,IL,61874
1684,Aldi Inc. No. 90,801 W Interstate DR,CHAMPAIGN,IL,61822
800,Aldi No. 91,3102 E University,URBANA,IL,61802
507,Alexander's Steakhouse,202 W Anthony DR,CHAMPAIGN,IL,61820
163,Allen's Farm Quality Meats,"RR 49, Box 24",HOMER,IL,61849
2471,Alpha Chi Omega Sorority,904 S Lincoln AVE,URBANA,IL,61801
2474,Alpha Delta Pi Sorority,1202 W Nevada ST,URBANA,IL,61801
2486,Alpha Epsilon Phi Sorority,904 S Third ST,CHAMPAIGN,IL,61820
2437,Alpha Epsilon Pi Fraternity,110 E Chalmers ST,CHAMPAIGN,IL,61820
2478,Alpha Gamma Delta Sorority,1106 S Lincoln AVE,URBANA,IL,61801
2452,Alpha Gamma Rho Fraternity,58 E Gregory DR,CHAMPAIGN,IL,61820
2444,Alpha Kappa Lambda Fraternity,401 E Daniel ST,CHAMPAIGN,IL,61820
2480,Alpha Omicron Pi Sorority,706 S Matthews AVE,URBANA,IL,61801
2482,Alpha Phi Sorority,508 E Armory AVE,CHAMPAIGN,IL,61820
2738,Alpha Tau Omega Fraternity,1101 W Pennsylvania AVE,URBANA,IL,61801
2477,Alpha Xi Delta Sorortiy,313 E Chalmers ST,CHAMPAIGN,IL,61820
177,Alto Vineyards,4210 N Duncan RD,CHAMPAIGN,IL,61822
1486,Am-Ko Oriental Foods & Gifts,101 E Springfield AVE,CHAMPAIGN,IL,61820
2037,Ambar India,605 S Wright ST,CHAMPAIGN,IL,61820
1887,Amber Glen Care Center,1704 E Amber LN,URBANA,IL,61802
2216,American Food Mart,904 N Fourth ST,CHAMPAIGN,IL,61820
