id_restaurant,id_inspection,facility_type,inspect_type,inspect_date
1239C51D740594C7852581070053AC1C,624ABC0BDEF620B9852581D8006E6C1D,Commercial FSO,Standard,08-November-2017
1239C51D740594C7852581070053AC1C,68593B3F7F173B348525814D00515EF4,Commercial FSO,Standard,26-June-2017
938632CF4C6C4DB588257C780076B38F,7040FEA6E6ABDAB2852581A2005EC5E0,Seasonal Commercial FSO,Standard,21-September-2017
938632CF4C6C4DB588257C780076B38F,2873FA5A12498724852581290056B194,Seasonal Commercial FSO,Standard,23-May-2017
938632CF4C6C4DB588257C780076B38F,1E5022EFF4603DC5852580140067B3BB,Seasonal Commercial FSO,Standard,19-August-2016
938632CF4C6C4DB588257C780076B38F,0E27DC45D87BBCB785257FE900681E46,Seasonal Commercial FSO,Standard,07-July-2016
938632CF4C6C4DB588257C780076B38F,43BBBCA53D32653085257F4F005FEE82,Seasonal Commercial FSO,Standard,04-February-2016
938632CF4C6C4DB588257C780076B38F,4F04445931A373F185257F49001FFCDB,Seasonal Commercial FSO,Standard,04-September-2015
938632CF4C6C4DB588257C780076B38F,D00AAC492CFBFA8085257DE4002F9828,Seasonal Commercial FSO,Standard,06-January-2015
938632CF4C6C4DB588257C780076B38F,BCE5C52273B9B74385257D420070B1AD,Commercial RFE,Standard,28-August-2014
D76CFEEBBC1C48AE88257C780076ABD2,7E0CA168F42AD40C85258177006096C6,Commercial RFE,Standard,09-August-2017
D76CFEEBBC1C48AE88257C780076ABD2,52679BCB5CC9B098852580BB005729BC,Commercial RFE,Standard,02-February-2017
D76CFEEBBC1C48AE88257C780076ABD2,604C109884A8A82F8525809E0055603E,Commercial RFE,Standard,04-January-2017
D76CFEEBBC1C48AE88257C780076ABD2,4655A5D26630C131852580E200648DE9,Commercial RFE,Standard,27-September-2016
D76CFEEBBC1C48AE88257C780076ABD2,075CC0AE437BBC4185257F42005228D8,Commercial RFE,Standard,21-January-2016
D76CFEEBBC1C48AE88257C780076ABD2,965490AE6600668585257E3B00529C6F,Commercial RFE,Standard,04-May-2015
D76CFEEBBC1C48AE88257C780076ABD2,7B8EF2999617FE8185257D9B004FC870,Commercial RFE,Other,25-November-2014
