name,href
1000 Degrees Neapolitan Pizzeria,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=1239C51D740594C7852581070053AC1C
12th Hole Snack Bar,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=938632CF4C6C4DB588257C780076B38F
131 St Food Inc Dba Marathon Food Mart,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=D76CFEEBBC1C48AE88257C780076ABD2
16-Bit Bar & Arcade,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=7FE1B608DE5542D885257D3900501ABD
1st Step Learning Center,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=68D68C41C5462F48852580E90068F924
"277 Northfield Hospitaltiy, LLC DBA Mr Hero",/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=7E822EC7702306CF85258114004A4943
277 Northfield Inc Dba John's Deli,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=4160585C6FD94FF888257C780076A671
3 Brothers Pizza Inc,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=BEEE28E71601BF8188257C780076AF51
3 Kings Lounge,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=0906DB4A9088C99D85257DEF0051FCB8
31707***,/clients/ohio/cuyahoga/cuyahoga_web_live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=8C473BA9BBC9A73F85257EB400576590
3368 Jefferson Square Restaurant,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=55C4606F03A582A888257C780076B7A5
3375 Rockport Restaurant/Panera Bread,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=C44A755E3D775E0188257C780076B41C
4- Season's Catering,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=E4C11B8F33BBDAD78525814D00595351
49 Street Tavern,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=B66B828C1FAB458285257F390071A4B1
4Play Restaurant,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=239FB39CE88FA4B185257E830049B742
"5 Bliss, LLC dba River Dog Cafe",/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=3EB8F956333D302085257CBD004AB683
