id_inspection,id_facility,date,type,score,critical_demerits,repeat_demerits,adj_score,comments
1004,439,2008-03-28,Routine,89,5,6,78,Any questions please call Brenda at 531-2906.
1005,138,2008-03-28,Routine,78,10,0,68,Facility needs to submit proceedure for dealing with food that has previously been cooked.
1009,438,2008-04-01,Reinspection,90,0,22,68,The place looks much better.  Keep working on correcting these items.  Thank you for your cooperation.
1010,1161,2008-03-26,Routine,99,0,0,99,You still have not submitted the paperwork or paid the fee. Letter to follow.
1012,311,2008-04-03,Routine,85,0,12,73,NA
1013,117,2008-04-03,Routine,95,5,0,90,NA
1014,260,2008-03-24,Routine,87,5,0,82,NA
1015,902,2008-04-07,Routine,89,5,0,84,"All temps were good. (Cold holding only, under 41F).Please complete Major Violation Correction Form to indicate how the mop sink backflow issue was resolved and then return it to me within ten days.Please call with any questions at 373-7900."
1022,745,2008-04-11,Routine,97,0,2,95,"One pack of Oscar Mayer Beef Hotdogs found with use by date 07 Apr 2008, removed from shelf by employee."
1023,208,2008-04-11,Routine,79,15,4,60,NA
1025,1095,2008-04-15,Routine,74,20,4,50,Please correct the critical violations and return the attached Major Violation Sheets within 10 days of receiving.  Walk-in coolers looked great.  If you have any questions please call Brenda at 531-2906.
1028,695,2008-04-16,Routine,80,15,0,65,NA
1030,466,2008-04-18,Routine,94,5,4,85,If you have any questions please call Brenda at 531-2906.
1032,125,2008-04-11,Routine,94,0,0,94,NA
1035,701,2008-04-21,Routine,88,5,2,81,NA
103667,126,2011-09-06,Routine,87,10,2,75,NA
103668,1437,2011-09-06,Routine,92,0,4,88,NA
103671,759,2011-09-12,Reinspection,81,10,12,59,NA
103672,507,2011-09-15,Routine,85,10,12,63,Replace the door sweep and return the MVC with in 10 days. Contact me with questions 531-2937.
1037,129,2008-04-22,Routine,98,0,0,98,NA
1038,1004,2008-04-22,Routine,81,10,6,65,NA
1041,198,2008-04-22,Routine,84,10,0,74,NA
1047,803,2008-04-28,Routine,81,20,6,55,Could not find Food Service Sanitation Manager Certifications in our office records.  Please return MVC form attached with copy of certification.  If you have any questions please contact Brenda at 531-2906.
1052,105,2008-04-14,Routine,87,5,4,78,NA
1053,62,2008-04-24,Routine,89,5,0,84,NA
1059,203,2008-05-02,Routine,98,0,0,98,NA
1061,37,2008-05-05,Routine,86,5,12,69,NA
10666,773,2008-01-11,Routine,89,5,0,84,"Employee showed good handwash practices.Have refrigerators serviced before using for potentially hazaradous food.  Please call with any questions at 373-7900."
10668,453,2008-01-11,Routine,91,5,4,82,"Please monitor the temperature in the walk-in coolers as they are between 40 and 41 degrees F.   They are not in violation, but they may be only marginally effective.Please make sure steam tables are pre-heated so that cooked foods are at least 140 degrees F.Call with any questions at 373-7900."
10669,593,2008-01-14,Routine,96,0,8,88,"Temperatures were good. Employees were witnessed practicing good handwashing habits.  FYI: The food in the Jordan brand reach-in refrigerator was at 41 degrees F.  This is marginal, and you should have this inspected.Please call with any questions at 373-7900."
