id_facility,id_inspection,date,type
10,259942,2017-09-28,Routine
10,259789,2017-03-20,Routine
10,243921,2016-08-18,Routine
10,243876,2016-07-18,Routine
10,231839,2016-02-17,Routine
10,199019,2015-10-01,Routine
10,198828,2015-02-08,Routine
10,174978,2014-08-11,Routine
10,174839,2014-02-12,Routine
10,180774,2013-09-18,Routine
10,180687,2013-04-16,Routine
10,160733,2012-12-13,Routine
10,88101,2012-06-21,Routine
10,87996,2012-02-16,Routine
10,38365,2011-07-18,Routine
10,38174,2011-01-10,Routine
10,74770,2010-09-07,Routine
10,37633,2010-01-11,Routine
10,37458,2009-09-21,Routine
10,36983,2009-01-20,Routine
10,36796,2008-10-03,Reinspection
10,36707,2008-09-02,Routine
10,825,2008-01-09,Routine
100,259926,2017-09-11,Routine
100,259741,2017-01-24,Routine
100,243875,2016-07-18,Routine
100,231835,2016-02-16,Routine
100,198999,2015-09-10,Routine
100,198811,2015-01-26,Routine
100,194779,2014-07-09,Routine
100,194680,2014-02-25,Routine
100,170761,2013-08-20,Routine
100,164729,2013-01-28,Routine
100,96038,2012-09-24,Routine
100,95933,2012-04-23,Routine
100,95830,2012-01-17,Routine
100,74912,2011-08-17,Routine
100,74809,2011-01-20,Routine
100,74769,2010-09-07,Routine
100,37681,2010-02-02,Routine
100,74685,2009-06-04,Routine
100,37038,2009-02-10,Routine
100,54675,2008-09-04,Routine
100,6675,2008-02-08,Routine
1000,270004,2017-10-10,Routine
1000,269830,2017-04-13,Routine
1000,266728,2016-11-29,Routine
1000,215945,2016-05-03,Routine
1000,199065,2015-11-05,Routine
1000,198893,2015-04-08,Routine
1000,175019,2014-10-14,Routine
1000,174858,2014-02-26,Routine
1000,180747,2013-07-09,Routine
1000,162770,2013-03-06,Routine
1000,156670,2012-10-18,Routine
1000,88102,2012-06-27,Routine
1000,87979,2012-02-02,Routine
1000,83916,2011-08-24,Routine
1000,83859,2011-05-10,Reinspection
1000,83824,2011-04-06,Routine
1000,38159,2010-12-20,Routine
1000,80784,2010-04-06,Routine
1000,54728,2009-11-23,Routine
1000,37196,2009-04-28,Routine
1000,36818,2008-10-14,Routine
1000,976,2008-03-18,Routine
1004,293690,2017-08-16,Routine
1004,256771,2017-03-14,Routine
1004,269703,2016-11-14,Routine
1004,195310,2016-06-01,Reinspection
1004,195295,2016-05-13,Routine
1004,215821,2015-10-08,Routine
1004,215699,2015-04-14,Routine
1004,198745,2014-09-29,Routine
1004,190679,2014-06-10,Routine
1004,174805,2013-11-12,Routine
1004,174712,2013-05-09,Reinspection
1004,174675,2013-04-08,Routine
1004,162689,2012-11-29,Routine
1004,121950,2012-08-25,Routine
1004,62840,2012-04-22,Routine
1004,38513,2011-11-22,Routine
1004,83850,2011-05-03,Routine
1004,38124,2010-11-17,Routine
1004,83683,2010-06-02,Routine
1004,37594,2009-12-03,Routine
1004,37097,2009-03-11,Routine
1004,36863,2008-11-05,Reinspection
1004,36808,2008-10-07,Routine
1004,1038,2008-04-22,Routine
1004,843,2008-01-14,Reinspection
1007,275784,2017-05-31,Routine
1007,243936,2016-09-01,Routine
1007,229697,2015-05-04,Routine
1007,194778,2014-07-02,Routine
1007,170679,2013-03-22,Routine
1007,95829,2012-01-13,Routine
1007,97668,2011-03-25,Routine
1007,37745,2010-03-03,Routine
1007,66687,2009-01-12,Routine
1007,18702,2008-03-10,Routine
1010,269892,2017-06-14,Routine
1010,269768,2017-02-03,Routine
1010,130529,2016-09-12,Routine
1010,215932,2016-04-15,Routine
1010,199035,2015-10-15,Routine
1010,198884,2015-04-02,Routine
1010,174966,2014-07-15,Routine
1010,174827,2014-01-29,Routine
1010,180744,2013-07-01,Routine
1010,162745,2013-02-07,Routine
1010,82823,2012-10-13,Routine
1010,88099,2012-06-20,Routine
1010,88020,2012-03-12,Routine
1010,87946,2011-12-06,Routine
1010,85884,2011-02-28,Routine
1010,58913,2010-01-19,Routine
1010,58836,2009-08-13,Routine
1010,58751,2009-03-18,Routine
1010,1194,2008-07-22,Routine
1010,10763,2008-03-21,Routine
