id_restaurant,href_inspection
1239C51D740594C7852581070053AC1C,Food-InspectionDetails?OpenView&RestrictToCategory=624ABC0BDEF620B9852581D8006E6C1D
1239C51D740594C7852581070053AC1C,Food-InspectionDetails?OpenView&RestrictToCategory=68593B3F7F173B348525814D00515EF4
938632CF4C6C4DB588257C780076B38F,Food-InspectionDetails?OpenView&RestrictToCategory=7040FEA6E6ABDAB2852581A2005EC5E0
938632CF4C6C4DB588257C780076B38F,Food-InspectionDetails?OpenView&RestrictToCategory=2873FA5A12498724852581290056B194
938632CF4C6C4DB588257C780076B38F,Food-InspectionDetails?OpenView&RestrictToCategory=1E5022EFF4603DC5852580140067B3BB
938632CF4C6C4DB588257C780076B38F,Food-InspectionDetails?OpenView&RestrictToCategory=0E27DC45D87BBCB785257FE900681E46
938632CF4C6C4DB588257C780076B38F,Food-InspectionDetails?OpenView&RestrictToCategory=43BBBCA53D32653085257F4F005FEE82
938632CF4C6C4DB588257C780076B38F,Food-InspectionDetails?OpenView&RestrictToCategory=4F04445931A373F185257F49001FFCDB
938632CF4C6C4DB588257C780076B38F,Food-InspectionDetails?OpenView&RestrictToCategory=D00AAC492CFBFA8085257DE4002F9828
938632CF4C6C4DB588257C780076B38F,Food-InspectionDetails?OpenView&RestrictToCategory=BCE5C52273B9B74385257D420070B1AD
D76CFEEBBC1C48AE88257C780076ABD2,Food-InspectionDetails?OpenView&RestrictToCategory=7E0CA168F42AD40C85258177006096C6
D76CFEEBBC1C48AE88257C780076ABD2,Food-InspectionDetails?OpenView&RestrictToCategory=52679BCB5CC9B098852580BB005729BC
D76CFEEBBC1C48AE88257C780076ABD2,Food-InspectionDetails?OpenView&RestrictToCategory=604C109884A8A82F8525809E0055603E
D76CFEEBBC1C48AE88257C780076ABD2,Food-InspectionDetails?OpenView&RestrictToCategory=4655A5D26630C131852580E200648DE9
D76CFEEBBC1C48AE88257C780076ABD2,Food-InspectionDetails?OpenView&RestrictToCategory=075CC0AE437BBC4185257F42005228D8
D76CFEEBBC1C48AE88257C780076ABD2,Food-InspectionDetails?OpenView&RestrictToCategory=965490AE6600668585257E3B00529C6F
D76CFEEBBC1C48AE88257C780076ABD2,Food-InspectionDetails?OpenView&RestrictToCategory=7B8EF2999617FE8185257D9B004FC870
D76CFEEBBC1C48AE88257C780076ABD2,Food-InspectionDetails?OpenView&RestrictToCategory=6060A68CC22EA15D85257D7F0046DD0D
D76CFEEBBC1C48AE88257C780076ABD2,Food-InspectionDetails?OpenView&RestrictToCategory=8DE87F609B750F3085257CCB005053CA
7FE1B608DE5542D885257D3900501ABD,Food-InspectionDetails?OpenView&RestrictToCategory=3D19F9B783E5E0B1852580F000541D72
7FE1B608DE5542D885257D3900501ABD,Food-InspectionDetails?OpenView&RestrictToCategory=7828B4565FA4C56985257F8B0067EDB4
7FE1B608DE5542D885257D3900501ABD,Food-InspectionDetails?OpenView&RestrictToCategory=7E3E42EFE04F4E9585257E06005F3C01
7FE1B608DE5542D885257D3900501ABD,Food-InspectionDetails?OpenView&RestrictToCategory=7E070B1C0265CACB85257D9A0070A4D8
7FE1B608DE5542D885257D3900501ABD,Food-InspectionDetails?OpenView&RestrictToCategory=47857CFD863732BA85257D40004EAA8B
68D68C41C5462F48852580E90068F924,Food-InspectionDetails?OpenView&RestrictToCategory=6B627005F1BC96E98525814C004E611B
7E822EC7702306CF85258114004A4943,Food-InspectionDetails?OpenView&RestrictToCategory=5D675FEF54C0A5FA852581AD0064C081
7E822EC7702306CF85258114004A4943,Food-InspectionDetails?OpenView&RestrictToCategory=638CE0EAC7A0E17C852581CD00551263
4160585C6FD94FF888257C780076A671,Food-InspectionDetails?OpenView&RestrictToCategory=C9E5EF0B4EE6D239852580E40053A34A
4160585C6FD94FF888257C780076A671,Food-InspectionDetails?OpenView&RestrictToCategory=482C65AE442693F9852580BF006B9A3A
4160585C6FD94FF888257C780076A671,Food-InspectionDetails?OpenView&RestrictToCategory=F7A36AC54A8CF11685257F76006A382B
4160585C6FD94FF888257C780076A671,Food-InspectionDetails?OpenView&RestrictToCategory=A81D8569A15565B485257EA700568C62
4160585C6FD94FF888257C780076A671,Food-InspectionDetails?OpenView&RestrictToCategory=964DFB1209C2D6AE85257E890067B241
4160585C6FD94FF888257C780076A671,Food-InspectionDetails?OpenView&RestrictToCategory=C79B3C607733AC2885257DEF00540E07
4160585C6FD94FF888257C780076A671,Food-InspectionDetails?OpenView&RestrictToCategory=AF9DF2A02F01E9D785257D8E006B9A8E
BEEE28E71601BF8188257C780076AF51,Food-InspectionDetails?OpenView&RestrictToCategory=731E5B2EEFAD7D9B85258154006B2855
BEEE28E71601BF8188257C780076AF51,Food-InspectionDetails?OpenView&RestrictToCategory=3769CDC7AD93BFD685258087006FAF60
BEEE28E71601BF8188257C780076AF51,Food-InspectionDetails?OpenView&RestrictToCategory=F4D344F99099FD978525800C0068C863
BEEE28E71601BF8188257C780076AF51,Food-InspectionDetails?OpenView&RestrictToCategory=18E39AB2784EA7C885257F5D00672A60
BEEE28E71601BF8188257C780076AF51,Food-InspectionDetails?OpenView&RestrictToCategory=FDFF26FECE71C30785257ED50056D109
BEEE28E71601BF8188257C780076AF51,Food-InspectionDetails?OpenView&RestrictToCategory=EDEC58F7FD84F73A85257DCB0069DC4F
BEEE28E71601BF8188257C780076AF51,Food-InspectionDetails?OpenView&RestrictToCategory=56717CFEAEA8E3D985257D57006488F9
0906DB4A9088C99D85257DEF0051FCB8,Food-InspectionDetails?OpenView&RestrictToCategory=C6CA98EC8029D2C5852581D100616ABC
0906DB4A9088C99D85257DEF0051FCB8,Food-InspectionDetails?OpenView&RestrictToCategory=54AB1BE7F28B7AAC8525810F005289F4
0906DB4A9088C99D85257DEF0051FCB8,Food-InspectionDetails?OpenView&RestrictToCategory=1651DFB41DE1813D8525810100686967
0906DB4A9088C99D85257DEF0051FCB8,Food-InspectionDetails?OpenView&RestrictToCategory=29025DB83996C968852580B9006874CB
0906DB4A9088C99D85257DEF0051FCB8,Food-InspectionDetails?OpenView&RestrictToCategory=4D501FC2795A62CB85257FFB00627C1D
0906DB4A9088C99D85257DEF0051FCB8,Food-InspectionDetails?OpenView&RestrictToCategory=3AA31ED4B50AC46B85257ECF00664356
0906DB4A9088C99D85257DEF0051FCB8,Food-InspectionDetails?OpenView&RestrictToCategory=02410F8FB6252DB885257DFC005D0EBA
8C473BA9BBC9A73F85257EB400576590,Food-InspectionDetails?OpenView&RestrictToCategory=34386342C913EBDD852581CB006F17F3
8C473BA9BBC9A73F85257EB400576590,Food-InspectionDetails?OpenView&RestrictToCategory=76E8843689AC7415852581C50065BD06
8C473BA9BBC9A73F85257EB400576590,Food-InspectionDetails?OpenView&RestrictToCategory=4BF977BE649F0C1C852581B7005A06C4
8C473BA9BBC9A73F85257EB400576590,Food-InspectionDetails?OpenView&RestrictToCategory=0906F1665B2D7F48852581AF005BB309
8C473BA9BBC9A73F85257EB400576590,Food-InspectionDetails?OpenView&RestrictToCategory=D9013CFE13772B9C852580D400570622
8C473BA9BBC9A73F85257EB400576590,Food-InspectionDetails?OpenView&RestrictToCategory=EADF388B0D964D728525807C00644186
8C473BA9BBC9A73F85257EB400576590,Food-InspectionDetails?OpenView&RestrictToCategory=397C86CF76AD621985257F6800679CC3
8C473BA9BBC9A73F85257EB400576590,Food-InspectionDetails?OpenView&RestrictToCategory=8C8693B5BE743F1F85257F4C006DAF9D
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=56010C1962BAC8448525819F00432776
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=F9BCC6C0861BCAD88525819F0043C918
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=A8FB57450C715C81852580F800439E39
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=874C7DCE0CE2C2C2852580F80042F37E
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=A42CC227F236D772852580420043F1E5
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=6901308195F8E2268525804200436321
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=AF42B1D8DE75E3F185257FA9006766BA
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=337757493A3B1E0085257FA90066972D
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=9F476A577C58951C85257FA900655F3A
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=76343E78134FD5E485257F22005392C1
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=0B36B8BFFC7A15CE85257F2200536B70
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=B6E5971387CC4F2B85257E980051E3C2
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=8F12E79B214DFC3185257E98005247D7
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=34A18A3DAC43098E88257DC700513BBA
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=866AB77A3F8B0EBC88257DC700510CEE
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=25B45757FF01A7EA88257D0F00693442
55C4606F03A582A888257C780076B7A5,Food-InspectionDetails?OpenView&RestrictToCategory=AC2FDB48D8B115C888257D0F0068BC24
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=C7F4A1201359EE648525816200457F2B
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=770AA4C750C8715985258162004644E6
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=767A73E2C8E966AC852580AC004F1288
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=D559EB5E8AC8DCB6852580AC004DECB9
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=4A22585C739AA36085258009004A7EFF
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=38D4B7C8A3A2890785258009004C090B
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=336C1C59D439ABFB85257F420055090D
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=17951FEE52DA777A85257F42005514BB
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=F5005BD5D9E82B5985257E6C00568DCA
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=55208CEE0BC5312885257E6C00568BB9
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=99D4B6D05029BF4A85257DC80059550C
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=08F66ED25CE8B7F985257DC80059F1B3
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=16CC88B25C3A507B85257D4A006EFFC9
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=789D51E1BB74BEC085257D1F00538EF8
C44A755E3D775E0188257C780076B41C,Food-InspectionDetails?OpenView&RestrictToCategory=D321BC120100B8AA85257D1F004E0BB7
E4C11B8F33BBDAD78525814D00595351,Food-InspectionDetails?OpenView&RestrictToCategory=3FCCE822F32E12A385258155005BFC49
E4C11B8F33BBDAD78525814D00595351,Food-InspectionDetails?OpenView&RestrictToCategory=FE25C3ADC10D9B388525815400568EAE
B66B828C1FAB458285257F390071A4B1,Food-InspectionDetails?OpenView&RestrictToCategory=724DAF437A8ED120852581220053956E
B66B828C1FAB458285257F390071A4B1,Food-InspectionDetails?OpenView&RestrictToCategory=532CA143C2E62178852581220052F39A
B66B828C1FAB458285257F390071A4B1,Food-InspectionDetails?OpenView&RestrictToCategory=2C077DBD8E83AD84852580BA0066E5A0
B66B828C1FAB458285257F390071A4B1,Food-InspectionDetails?OpenView&RestrictToCategory=D97986AA82A616178525808B0051AAD3
B66B828C1FAB458285257F390071A4B1,Food-InspectionDetails?OpenView&RestrictToCategory=DD0FD17AF78CDC598525808B00509846
B66B828C1FAB458285257F390071A4B1,Food-InspectionDetails?OpenView&RestrictToCategory=44329A983E7AAF5D85257FB6006CD7C0
B66B828C1FAB458285257F390071A4B1,Food-InspectionDetails?OpenView&RestrictToCategory=7BCAAC05785100BF85257FB6006BC428
B66B828C1FAB458285257F390071A4B1,Food-InspectionDetails?OpenView&RestrictToCategory=A94B277C46CFDDE085257F45006316A3
B66B828C1FAB458285257F390071A4B1,Food-InspectionDetails?OpenView&RestrictToCategory=8F20B5AF4C0DC9CD85257F450063785A
239FB39CE88FA4B185257E830049B742,Food-InspectionDetails?OpenView&RestrictToCategory=756415D40B84054D852581B8005C8FF4
239FB39CE88FA4B185257E830049B742,Food-InspectionDetails?OpenView&RestrictToCategory=42321F04EA6B54CC852580D5007AD3F1
239FB39CE88FA4B185257E830049B742,Food-InspectionDetails?OpenView&RestrictToCategory=7191CC7632D167708525809F007D9CED
239FB39CE88FA4B185257E830049B742,Food-InspectionDetails?OpenView&RestrictToCategory=E38341F824EC16AF85257F5E00777315
239FB39CE88FA4B185257E830049B742,Food-InspectionDetails?OpenView&RestrictToCategory=A6FA6A090956A6C685257ED700566A42
239FB39CE88FA4B185257E830049B742,Food-InspectionDetails?OpenView&RestrictToCategory=A4597CADD919562D85257EC4006B6768
3EB8F956333D302085257CBD004AB683,Food-InspectionDetails?OpenView&RestrictToCategory=7B66D6D81D388DB08525815600619154
3EB8F956333D302085257CBD004AB683,Food-InspectionDetails?OpenView&RestrictToCategory=6B74AD2966E8E8A9852581560060D7CB
3EB8F956333D302085257CBD004AB683,Food-InspectionDetails?OpenView&RestrictToCategory=922DEB488F7637D28525809E005A7339
