client_id,client_name,address,city,state,zip,municipality,cat_code
47618,Skelley's Place,831 Seavey Rd,Pittsburgh,PA,15209,Shaler,201-Restaurant with Liquor
39032,The Sauce Pot,807 5th Ave,Coraopolis,PA,15108,Coraopolis,211-Restaurant without Liquor
200304280004,Dante's Dog House,117 Twilight Drive,Canonsburg,PA,15317,Out Of County,119-Mobile
33872,Eat'n Park #44,100 Park Manor Drive,Pittsburgh,PA,15205,Robinson,212-Chain Restaurant without Liquor
200212110003,Unique Pizza,4329 Northern Pike,Monroeville,PA,15146,Monroeville,212-Chain Restaurant without Liquor
200209260008,McDonald's #7340,4317 Northern Pike,Monroeville,PA,15146,Monroeville,212-Chain Restaurant without Liquor
8804,La Barbe Restaurant,4397 Old Wm Penn Hwy,Monroeville,PA,15146,Monroeville,201-Restaurant with Liquor
49387,Boxers Sports Bar & Restaurant,4733 Wm Penn Hwy,Monroeville,PA,15146,Monroeville,201-Restaurant with Liquor
51915,Shogun Japanese Restaurant,8 Tech Dr,Monroeville,PA,15146,Monroeville,201-Restaurant with Liquor
200310060003,#1 Cochran Cafe,4520 Wm Penn Hwy,Monroeville,PA,15146,Monroeville,211-Restaurant without Liquor
57287,El Campesino Mexican Restaurant,4063 Wm Penn Hwy,Monroeville,PA,15146,Monroeville,211-Restaurant without Liquor
200208020002,It's All About Kids,2484 Sample Rd,Allison Park,PA,15101,Hampton,403-Child Food Service
46333,West View Firemen's Building,398 Perry Highway,Pittsburgh,PA,15229,West View,409-Firehall without Liquor
200201100002,Pizza Roma,461 Perry Hwy,Pittsburgh,PA,15229,West View,212-Chain Restaurant without Liquor
200212260002,China Spot Restaurant,463 Perry Hwy,Pittsburgh,PA,15229,West View,211-Restaurant without Liquor
200404150001,WHAA Concession Stand,1932 Bradley St,Pittsburgh,PA,15211,Pittsburgh-119,401-Adult Food Service
49386,Mediterranean Grill,5824 Forbes Ave,Pittsburgh,PA,15217,Pittsburgh-114,211-Restaurant without Liquor
200404150002,Subway #32741,3147 Banksville Road,Pittsburgh,PA,15237,Pittsburgh-120,212-Chain Restaurant without Liquor
200102130004,New Chinatown Trading,1300 Island Ave,Mc Kees Rocks,PA,15136,Stowe,152-Refrigerated Warehouse
200006280008,Golden China,2209 Murray Ave,Pittsburgh,PA,15217,Pittsburgh-114,211-Restaurant without Liquor
52784,Red River Bar Beque & Grille,9805 McKnight Rd,Pittsburgh,PA,15237,McCandless,202-Chain Restaurant with Liquor
54828,Starbucks Coffee #754,1717 Cochran Rd / Va Manor,Pittsburgh,PA,15220,Mt Lebanon,212-Chain Restaurant without Liquor
48942,Dollar Tree #236,7900 McKnight Rd,Pittsburgh,PA,15237,Ross,116-Chain Packaged Food Only
57533,Johnny's Stratmore Cafe',1509 Stratmore St,Pittsburgh,PA,15205,Pittsburgh-128,201-Restaurant with Liquor
200109060003,Johnny's Pizza Express,1516 Stratmore St,Pittsburgh,PA,15205,Pittsburgh-128,211-Restaurant without Liquor
47831,The Olive Garden #1309,8400 McKnight Road,Pittsburgh,PA,15237,Ross,202-Chain Restaurant with Liquor
200401090006,Pip's Diner,517 Millers Run Rd,Morgan,PA,15064,South Fayette,211-Restaurant without Liquor
55703,Damon's / Ross Towne Center,7221 McKnight Rd,Pittsburgh,PA,15237,Ross,202-Chain Restaurant with Liquor
55043,GNC #3710,Rt 65 Quaker Village,Leetsdale,PA,15056,Leetsdale,116-Chain Packaged Food Only
200009050001,Milky Way,2120 Murray Ave,Pittsburgh,PA,15217,Pittsburgh-114,211-Restaurant without Liquor
